day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0BalancePostion,token1BalancePostion,token0PriceUSD,token1PriceUSD,positionValueETH,dailyLPFeeROIPosition
18947,146813,1637103325,5245.015907978324098717440519276732,0,0,0.0,,,4265.0527101546795,0.0,,
18948,190330,1637182097,47669.95485676007213125018593471123,0,0,0.0,,,4179.601211910666,0.0,,
18949,235342,1637275478,165335.1396626145854388861303343574,0,0,0.0,,,3981.536352307042,0.0,,
18950,268282,1637351773,193679.2916893348255572979232238291,0,0,0.0,,,4258.270517047116,0.0,,
18951,300606,1637444532,127350.2259318407435138232036196235,0,0,0.0,,,4378.15033354245,0.0,,
18952,331842,1637535904,207790.2112388830349563437562648712,0,0,0.0,,,4308.709396395117,0.0,,
18953,367874,1637621381,80762.48518380307294264955769428822,0,0,0.0,,,4084.8007189456507,0.0,,
18954,399727,1637707148,109322.1609041260432191651496586562,0,0,0.0,,,4319.858771344831,0.0,,
18955,429367,1637786029,143213.692344728249395344694328086,0,0,0.0,,,4223.972699286858,0.0,,
18956,458902,1637879889,221695.5937481290997328341882063828,0,0,0.0,,,4479.554413149971,0.0,,
18957,503634,1637967719,226350.699566553088080734618030209,0,0,0.0,,,4086.920439924406,0.0,,
18958,531700,1638047129,239626.9445895235367188634434776998,0,0,0.0,,,4083.545796425253,0.0,,
18959,561799,1638121581,269744.129402395260642958823978335,0,0,0.0,,,4046.630821172447,0.0,,
18960,596688,1638222681,326742.678887589916982166917550922,0,0,0.0,,,4424.1345196395305,0.0,,
18961,632867,1638307297,338841.2306562343176596936393592442,0,0,0.0,,,4618.687910814925,0.0,,
18962,661868,1638391301,485228.658707614585166754046336456,0,0,0.0,1.263142628043934e+16,3.536728382179022e+16,4601.457334635417,0.0,0.048293465362709696,0.0
18963,692272,1638470069,224029.6939129467281018992604895029,0,0,0.0,1.263142628043934e+16,3.536728382179022e+16,4459.28433819669,0.0,0.048293465362709696,0.0
18964,731618,1638575796,274785.8360546736895026769623645226,0,0,0.0,1.308337665117587e+16,3.4919270569931384e+16,4221.316466400868,0.0,0.04832537062595283,0.0
18965,781413,1638658249,287356.0070719053832489634098455742,0,0,0.0,1.3183837687695488e+16,3.481973944377148e+16,4089.5729696483286,0.0,0.04833240933106405,0.0
18966,819036,1638732426,337224.7176721476998215942053354066,0,0,0.0,1.3435034232895604e+16,3.4570955166708604e+16,4129.159236911723,0.0,0.04834992432824804,0.0
